Row,Keteleeria,Agathis,Nageia,Sciadopitys,Cephalotaxus,Cunninghamia
460,1,0,1,0,0,0
461,0,0,0,1,0,0
462,0,1,0,0,0,0
463,1,0,0,1,1,1
464,0,0,0,1,0,0
465,0,0,0,0,1,0
466,0,0,0,1,1,1
467,0,0,0,0,1,0
468,0,0,0,0,0,1
469,0,1,0,1,0,0
470,1,0,0,0,0,0
471,0,0,1,0,0,0
472,0,1,0,0,0,0
473,1,0,0,1,0,0
474,0,0,0,0,0,1
475,0,0,0,0,0,1
476,0,0,1,0,0,0
477,0,0,0,0,0,1
478,0,0,1,0,0,0
479,0,0,0,1,0,0
480,0,0,1,0,0,0
481,1,0,0,0,0,0
482,1,1,0,1,0,0
483,0,0,1,0,0,1
484,1,0,0,0,0,0
485,0,0,0,0,0,1
486,0,0,0,0,0,1
487,0,0,0,0,0,1
488,1,1,1,1,1,1
489,0,1,1,1,1,1
490,1,1,1,1,1,1
491,1,0,1,0,0,1
492,0,0,0,1,0,0
493,1,1,0,0,1,1
494,0,0,0,0,1,0
495,0,0,0,0,0,1
496,1,1,0,1,1,1
497,1,1,1,0,0,0
498,0,0,0,0,0,1
499,0,0,0,1,0,0
500,1,1,1,1,1,1
501,1,1,1,1,1,1
502,1,1,1,1,1,1
503,1,0,0,0,1,1
504,0,0,0,0,1,1
505,0,0,0,0,0,1
506,1,0,0,0,0,1
507,1,1,1,1,1,1
508,1,1,1,1,1,1
509,0,0,0,0,1,0
510,0,0,0,0,1,0
511,0,0,0,0,1,0
512,0,0,0,0,1,0
513,0,0,0,0,1,0
514,0,0,0,0,1,0
515,0,0,0,0,1,0
516,0,0,0,0,1,0
517,0,0,0,0,1,0
518,0,0,0,0,1,0
519,0,0,0,0,1,0
520,0,0,0,0,1,0
521,0,0,0,0,1,0
522,0,0,0,0,1,0
523,0,0,0,0,1,0
524,0,0,0,0,1,0
525,0,0,0,0,1,0
526,0,0,0,0,1,0
527,0,0,0,0,1,0
528,0,0,0,0,1,0
529,0,0,0,0,1,0
530,0,0,0,0,1,0
531,0,0,0,0,1,0
532,0,0,0,0,1,0
533,0,0,0,0,1,0
534,0,0,0,0,1,0
535,0,0,0,0,1,0
536,0,0,0,0,1,0
537,0,0,0,0,1,0
538,0,0,0,0,1,0
539,0,0,0,0,1,0
540,0,0,0,0,1,0
541,0,0,0,0,1,0
542,0,0,1,0,0,0
543,0,0,1,0,0,0
544,1,0,1,0,0,1
545,0,1,1,0,0,1
546,1,0,0,0,0,0
547,1,0,0,0,0,0
548,1,1,1,0,0,1
549,0,1,0,0,0,1
550,0,0,1,0,0,0
551,0,1,1,0,0,0
552,1,1,1,0,0,1
553,0,1,0,0,0,0
554,0,0,1,0,0,0
555,0,0,1,0,0,0
556,1,1,1,0,0,1
557,1,1,0,0,0,1
558,1,1,1,0,0,1
559,1,1,1,0,0,1
560,0,0,0,0,0,1
561,1,1,1,0,0,1
562,0,1,0,0,0,0
563,0,0,1,0,0,0
564,0,1,1,0,0,0
565,0,0,1,0,0,1
566,0,1,1,0,0,0
567,1,1,1,0,0,1
568,1,1,1,0,0,1
569,1,1,0,0,0,1
570,1,1,1,0,0,1
571,1,1,1,0,0,1
572,1,1,1,0,0,1
573,1,0,0,0,0,0
574,1,0,0,0,0,0
575,1,0,0,0,0,0
576,1,1,1,0,0,1
577,1,0,0,0,0,0
578,1,0,0,0,0,0
579,1,0,0,0,0,0
580,0,0,0,0,0,1
581,1,0,0,0,0,0
582,0,0,0,1,0,0
583,1,0,0,0,0,0
584,0,0,0,0,0,1
585,0,0,0,0,0,1
586,0,1,0,0,0,0
587,1,0,0,1,0,0
588,0,0,1,0,0,0
589,1,0,0,1,0,1
590,1,0,0,0,0,0
591,1,0,1,1,0,1
592,1,0,1,0,0,0
593,1,1,1,0,0,0
594,0,0,1,0,0,0
595,0,1,1,0,0,0
596,1,0,0,0,0,0
597,0,1,1,0,0,0
598,0,1,0,1,1,1
599,0,0,0,0,0,1
600,0,0,0,0,0,1
601,0,0,0,0,1,0
602,0,0,0,0,1,0
603,0,0,0,0,0,1
604,1,0,1,1,1,1
605,0,0,0,0,0,1
606,1,0,0,0,1,1
607,0,0,1,0,1,0
608,1,1,0,1,1,1
609,1,0,0,0,0,0
610,1,1,1,1,1,1
611,1,1,1,1,1,1
612,1,1,1,1,1,1
613,1,1,0,1,1,1
614,1,0,0,0,0,0
615,1,0,1,0,0,0
616,0,0,1,0,0,0
617,1,1,0,0,1,1
618,1,1,1,1,1,1
619,0,0,0,0,1,1
620,0,0,0,0,0,1
621,0,0,0,1,0,0
622,1,1,1,1,1,1
623,0,0,1,0,0,0
624,1,0,0,1,1,1
625,1,0,1,1,1,0
626,0,0,1,0,1,1
627,0,1,0,0,0,0
628,1,1,1,0,1,0
629,1,0,0,1,0,0
630,1,1,0,0,0,0
631,1,1,1,0,0,0
632,0,0,0,1,0,0
633,1,1,1,0,1,1
634,1,0,0,0,1,0
635,0,1,0,0,0,0
636,0,0,0,0,1,1
637,0,0,1,0,0,0
638,0,0,0,1,1,1
639,0,0,0,0,0,1
640,1,0,0,0,0,0
641,0,0,0,0,0,1
642,1,0,0,0,0,0
643,1,0,0,0,0,0
644,0,0,1,0,0,0
645,1,0,0,0,0,0
646,0,0,0,0,1,1
647,0,0,0,0,1,1
648,0,0,0,0,1,1
649,1,0,0,0,1,1
650,1,0,1,0,0,0
651,1,0,1,0,1,1
652,0,0,0,0,1,0
653,0,0,1,0,0,0
654,1,1,1,1,1,1
655,0,0,1,0,1,0
656,0,0,0,1,1,1
657,0,1,1,0,0,1
658,0,1,1,0,0,0
659,0,0,0,0,1,1
660,1,0,0,1,0,0
661,1,0,1,1,0,0
662,1,0,0,0,0,0
663,1,0,0,0,0,0
664,1,0,0,0,0,0
665,1,0,1,0,0,0
666,0,0,0,1,0,0
667,0,1,0,0,0,0
668,0,0,0,0,1,1
669,0,0,0,0,1,1
670,0,1,0,1,1,1
671,0,0,0,0,1,1
672,1,0,0,0,1,1
673,1,0,0,0,0,0
674,0,0,1,0,1,1
675,0,0,0,0,1,1
676,0,0,0,0,1,1
677,0,1,0,0,0,0
678,0,0,1,1,1,1
679,0,0,0,0,0,1
680,1,0,0,1,1,1
681,1,0,0,0,1,1
682,0,0,0,0,1,0
683,0,0,1,0,0,0
684,0,0,0,0,0,1
685,1,0,0,0,0,0
686,0,1,0,0,0,0
687,0,0,0,0,1,1
688,1,0,0,0,0,0
689,0,0,0,0,1,0
690,1,0,0,0,1,1
691,1,0,0,0,0,0
692,0,0,1,0,1,1
693,1,0,1,0,0,0
694,1,1,0,1,1,1
695,0,1,1,1,0,1
696,0,1,0,0,0,0
697,1,0,0,0,0,0
698,1,0,0,0,0,0
699,0,0,1,0,0,0
700,0,0,0,1,0,0
701,0,1,0,0,0,0
702,1,0,0,0,0,1
703,1,0,0,0,0,0
704,0,0,1,0,0,0
705,0,0,0,0,0,1
706,1,0,0,0,0,0
707,1,0,1,0,1,1
708,0,0,0,0,1,1
709,1,0,0,0,0,0
710,1,0,0,0,0,0
711,0,0,1,0,0,0
712,1,0,0,0,0,0
713,0,0,0,0,1,1
714,1,0,0,0,0,0
715,0,0,1,0,0,0
716,1,1,1,1,1,1
717,1,1,1,0,1,0
718,1,0,1,1,1,1
719,1,0,1,0,0,0
720,1,0,0,0,0,0
721,0,0,0,0,1,1
722,0,0,0,0,1,1
723,0,0,0,0,0,1
724,1,0,0,0,0,0
725,0,0,1,0,0,0
726,1,0,0,0,0,0
727,1,0,0,0,0,0
728,1,0,0,1,0,1
729,1,0,0,0,1,1
730,1,1,0,1,0,0
731,0,0,1,0,1,0
732,0,0,0,0,1,1
733,1,1,1,1,1,1
734,1,0,0,0,0,0
735,0,1,0,1,1,1
736,0,0,1,0,1,0
737,0,0,0,0,1,0
738,0,0,1,0,0,0
739,1,0,1,0,0,0
740,1,0,0,0,0,0
741,0,0,1,0,0,0
742,1,0,0,0,0,0
743,1,0,0,0,0,0
744,1,0,0,0,0,0
745,1,0,1,0,0,0
746,0,1,0,0,0,1
747,1,0,0,0,0,0
748,1,0,0,0,0,0
749,0,1,1,0,1,0
750,0,1,0,0,0,1
751,1,0,0,0,0,0
752,0,0,1,0,1,0
753,1,0,0,0,0,0
754,1,0,0,0,0,0
755,1,0,1,0,1,1
756,1,0,1,0,1,1
757,1,0,0,0,0,0
758,0,0,1,0,0,0
759,0,0,0,0,1,0
760,1,0,1,1,1,1
761,1,0,0,0,0,0
762,1,0,0,0,0,1
763,1,0,0,0,0,0
764,1,0,1,0,0,0
765,0,0,0,0,1,1
766,0,1,0,0,0,0
767,0,0,1,0,0,1
768,0,0,0,0,0,1
769,0,0,1,0,0,0
770,1,0,0,0,0,1
771,1,0,0,0,0,0
772,0,0,1,0,0,0
773,1,0,0,0,0,0
774,1,0,0,0,0,0
775,1,0,0,0,1,1
776,1,0,0,0,0,1
777,1,0,0,0,1,1
